Store,Week,Month,Day, Amount 
2327,40,10,1,"13,949.96"
2327,40,10,2,"13,174.96"
2327,40,10,3,"13,174.96"
2327,40,10,4,"13,820.79"
2327,40,10,5,"15,758.29"
2327,40,10,6,"22,345.77"
2327,40,10,7,"22,345.77"
2327,41,10,1,"12,399.96"
2327,41,10,2,"11,883.30"
2327,41,10,3,"11,883.30"
2327,41,10,4,"11,883.30"
2327,41,10,5,"13,820.79"
2327,41,10,6,"19,762.44"
2327,41,10,7,"19,762.44"
2327,42,10,1,"11,883.30"
2327,42,10,2,"11,237.47"
2327,42,10,3,"11,237.47"
2327,42,10,4,"11,883.30"
2327,42,10,5,"13,174.96"
2327,42,10,6,"18,470.78"
2327,42,10,7,"18,341.61"
2327,43,10,1,"11,754.13"
2327,43,10,2,"11,237.47"
2327,43,10,3,"12,529.13"
2327,43,10,4,"13,820.79"
2327,43,10,5,"14,466.62"
2327,43,10,6,"21,699.94"
2327,43,10,7,"21,829.10"
2327,44,11,1,"13,820.79"
2327,44,11,2,"12,529.13"
2327,44,11,3,"12,529.13"
2327,44,11,4,"12,529.13"
2327,44,11,5,"14,466.62"
2327,44,11,6,"22,345.77"
2327,44,11,7,"22,474.93"
2327,45,11,1,"13,045.79"
2327,45,11,2,"12,529.13"
2327,45,11,3,"12,529.13"
2327,45,11,4,"12,529.13"
2327,45,11,5,"14,466.62"
2327,45,11,6,"21,054.10"
2327,45,11,7,"21,829.10"
2327,46,11,1,"15,758.29"
2327,46,11,2,"11,883.30"
2327,46,11,3,"11,883.30"
2327,46,11,4,"11,883.30"
2327,46,11,5,"13,174.96"
2327,46,11,6,"18,729.11"
2327,46,11,7,"18,729.11"
2327,47,11,1,"11,237.47"
2327,47,11,2,"11,237.47"
2327,47,11,3,"11,237.47"
2327,47,11,4,"11,883.30"
2327,47,11,5,"13,174.96"
2327,47,11,6,"18,470.78"
2327,47,11,7,"18,341.61"
2327,48,12,1,"14,854.12"
2327,48,12,2,"13,174.96"
2327,48,12,3,"13,174.96"
2327,48,12,4,"13,174.96"
2327,48,12,5,"15,758.29"
2327,48,12,6,"23,120.76"
2327,48,12,7,"22,733.27"
2327,49,12,1,"13,820.79"
2327,49,12,2,"13,174.96"
2327,49,12,3,"13,174.96"
2327,49,12,4,"13,174.96"
2327,49,12,5,"14,466.62"
2327,49,12,6,"20,408.27"
2327,49,12,7,"20,537.44"
2327,50,12,1,"13,174.96"
2327,50,12,2,"12,658.30"
2327,50,12,3,"12,658.30"
2327,50,12,4,"12,658.30"
2327,50,12,5,"14,466.62"
2327,50,12,6,"19,762.44"
2327,50,12,7,"19,762.44"
2327,51,12,1,"12,529.13"
2327,51,12,2,"11,883.30"
2327,51,12,3,"11,883.30"
2327,51,12,4,"15,758.29"
2327,51,12,5,"15,758.29"
2327,51,12,6,"22,345.77"
2327,51,12,7,"23,766.60"
2327,52,12,1,"14,466.62"
2327,52,12,2,"14,208.29"
