StoreNo,StoreName,ATV,GOB,GOBE,Card_Sold,PWP,IPB,BCR,CCR
2132,JALAN RAJA UDA, 54.5 ,0.1397,0.3791,1110,0.3211,3.7,0.6249,0.4976
2234,SUNWAY CARNIVAL T, 53.3 ,0.1219,0.4276,650,0.2810,3.4,0.6595,0.3500
71,CENTRAL SQUARE SUNGAI PETANI, 43.0 ,0.1401,0.3682,790,0.2991,3.1,0.6127,0.4444
234,LOTUS'S SG PETANI, 50.7 ,0.1321,0.3855,1300,0.2961,3.5,0.6237,0.3636
315,AMANJAYA MALL, 49.7 ,0.1437,0.3913,5570,0.3273,3.4,0.8360,0.3500
378,BALING, 52.1 ,0.1151,0.3652,1250,0.2704,3.6,0.6762,0.8381
379,VILLAGE MALL, 51.7 ,0.1739,0.4240,840,0.3230,3.5,0.6293,0.6364
445,LOTUS'S SG.PETANI 2, 43.0 ,0.1552,0.3403,840,0.3060,3.1,0.5897,0.3500
624,TAMAN SEJATI, 47.1 ,0.1451,0.3208,840,0.3393,3.5,0.6481,0.5547
2051,KUALA KETIL, 50.2 ,0.1444,0.3581,1760,0.3395,3.6,0.6380,0.6266
2062,LOTUS'S BDR PUTERI JAYA, 46.4 ,0.1331,0.3568,2270,0.3288,3.4,0.6838,0.4956
2125,CALTEX LEGENDA HEIGHTS, 56.4 ,0.1317,0.3735,1020,0.3480,3.9,0.6511,0.5722
2213,RIVERFRONT SUNGAI PETANI, 51.0 ,0.1246,0.3948,1350,0.3533,3.6,0.6598,0.4482
2223,TAMAN TUANKU HAMINAH, 49.2 ,0.1311,0.3613,420,0.3672,3.5,0.5864,0.5057
95,LOTUS'S PENANG E GATE, 43.0 ,0.1332,0.3087,650,0.2657,3.0,0.7376,0.3500
174,IDEAL AVENUE PENANG, 43.0 ,0.1481,0.3302,600,0.3144,3.2,0.6877,0.6316
215,QUEENSBAY MALL, 53.0 ,0.1000,0.4168,1670,0.2793,3.1,0.6828,0.4170
286,VANTAGE POINT, 51.7 ,0.1125,0.3609,600,0.2615,3.4,0.7137,0.7544
307,KOMPLEKS BUKIT JAMBUL, 48.9 ,0.1163,0.3341,2920,0.3839,3.2,0.6911,0.4497
446,LOTUS'S PENANG SUNGAI DUA, 43.0 ,0.1550,0.3618,560,0.2679,3.0,0.6829,0.4635
496,FARLIM, 43.0 ,0.1547,0.3132,400,0.3508,3.1,0.6943,0.5017
516,QUEENSBAY MALL 2, 47.8 ,0.1201,0.4675,400,0.2865,3.0,0.7114,0.3500
533,SUNSHINE SQUARE, 43.0 ,0.1380,0.3778,510,0.2740,3.0,0.7184,0.3941
578,BALIK PULAU, 43.0 ,0.1440,0.3261,400,0.3608,3.3,0.6640,0.6739
2026,BOTANICA BALIK PULAU, 49.9 ,0.1193,0.4150,600,0.3097,3.4,0.6510,0.4857
2103,ALL SEASONS PLACE, 47.2 ,0.1246,0.4094,460,0.2940,3.3,0.6150,0.3927
2250,SUNSHINE MALL, 43.9 ,0.1297,0.4067,400,0.3529,3.1,0.6862,0.3500
209,PEKAN JITRA 2, 52.9 ,0.1097,0.3290,1760,0.3066,3.7,0.5845,0.7487
244,KOMPLEKS ARAU, 47.5 ,0.1355,0.3815,4080,0.3696,3.5,0.7612,0.4913
306,KUALA NERANG KEDAH, 43.0 ,0.1296,0.3008,970,0.3374,3.3,0.8570,0.4927
376,LOTUS'S JITRA, 43.0 ,0.1415,0.3067,2230,0.2739,3.0,0.5865,0.4407
414,C-MART JITRA, 46.4 ,0.1093,0.3432,1440,0.2866,3.4,0.6752,0.4730
557,JETTY POINT, 43.0 ,0.1411,0.3515,400,0.1700,3.0,0.4500,0.4656
577,LANGKAWI CITY, 47.5 ,0.1371,0.3544,400,0.2071,3.5,0.4500,0.7446
633,KOMPLEKS CHANGLOON, 43.0 ,0.1267,0.3522,2830,0.2504,3.1,0.5952,0.5116
2028,KANGAR, 60.7 ,0.1206,0.3681,5060,0.3201,4.2,0.6767,0.6530
2078,PEKAN KUAH, 46.4 ,0.1234,0.3318,400,0.2192,3.5,0.4844,0.5328
2200,SHELL JALAN HUTAN KAMPUNG, 50.2 ,0.1203,0.3265,2180,0.3039,3.7,0.5845,0.6457
2210,SENA CENTRAL, 49.2 ,0.1050,0.3604,650,0.2582,3.5,0.6543,0.5245
42,KOMTAR, 43.0 ,0.1466,0.3231,740,0.2820,3.1,0.7303,0.3500
55,PRANGIN MALL, 43.5 ,0.1111,0.3619,840,0.2303,3.1,0.6582,0.3784
