StoreNo,StoreName,ATV,GOB,GOBE,Card_Sold,PWP,IPB,BCR,CCR
525,AEON BANDAR DATO ONN, 54.0 ,0.1033,0.3850,400,0.1755,3.5,0.4500,0.3961
580,GALLERIA KOTARAYA, 43.0 ,0.1257,0.3071,930,0.2874,3.4,0.5799,0.3500
2073,TD CENTRAL, 77.0 ,0.1000,0.4006,840,0.2469,4.4,0.4857,0.5708
2141,ADDA HEIGHTS, 57.6 ,0.1015,0.3353,510,0.2437,4.0,0.5099,0.6303
2148,TD POINT, 53.1 ,0.1093,0.3460,400,0.1926,3.5,0.4500,0.5312
2207,PLAZA PELANGI, 56.5 ,0.1000,0.3784,700,0.2157,3.4,0.4835,0.3500
2216,JBCC, 53.3 ,0.1001,0.3827,510,0.1830,3.3,0.4500,0.3500
2267,SETIA TROPIKA, 43.0 ,0.1000,0.3000,400,0.1700,3.0,0.4500,0.3500
2270,PAGOH JAYA, 43.0 ,0.1000,0.3000,400,0.1700,3.0,0.4500,0.3500
62,AEON TMN UNIVERSITY, 46.6 ,0.1119,0.3713,1620,0.2427,3.2,0.7096,0.4131
387,LOTUS'S MUTIARA RINI, 47.5 ,0.1176,0.3337,650,0.2295,3.3,0.5847,0.3827
538,PARADIGM MALL JB, 64.7 ,0.1000,0.3824,3620,0.2353,4.0,0.5446,0.3500
555,MYDIN MUTIARA RINI, 43.0 ,0.1263,0.3292,460,0.2345,3.3,0.4500,0.5341
559,TAMAN SUTERA UTAMA, 57.9 ,0.1185,0.3705,790,0.3590,3.9,0.4864,0.7779
639,KIP TAMPOI, 43.0 ,0.1179,0.3000,970,0.2432,3.2,0.5053,0.3580
649,PARADIGM MALL JB 2, 54.2 ,0.1000,0.3547,1950,0.2105,3.5,0.4500,0.4065
2055,MUTIARA RINI, 53.5 ,0.1122,0.3526,700,0.2590,3.7,0.5613,0.5525
2120,TAMAN UNIVERSITI, 54.1 ,0.1157,0.3341,2040,0.3377,3.7,0.5746,0.5257
2217,TASEK CENTRAL, 49.1 ,0.1109,0.3731,1250,0.2518,3.2,0.5130,0.3500
2241,SUTERA MALL, 58.5 ,0.1000,0.4303,400,0.2019,3.3,0.4500,0.3500
164,TAMAN NUSA BESTARI, 55.0 ,0.1256,0.3429,1620,0.3582,3.8,0.6695,0.4788
231,AEON BUKIT INDAH SHOPPING, 64.4 ,0.1000,0.3540,6870,0.2755,3.6,0.6288,0.4789
242,LOTUS'S BUKIT INDAH, 53.6 ,0.1264,0.3452,1390,0.2974,3.5,0.6464,0.3742
360,PERLING MALL, 51.6 ,0.1076,0.3631,1900,0.2913,3.6,0.4989,0.4232
500,GELANG PATAH, 50.4 ,0.1020,0.3020,1070,0.3171,3.6,0.5702,0.6326
618,ANJUNG ISKANDAR, 62.7 ,0.1032,0.3645,930,0.2923,4.0,0.5480,0.6277
683,ECO BOTANIC, 62.2 ,0.1105,0.3702,1070,0.2712,3.8,0.5041,0.5842
2037,PEKAN SENTRAL, 62.4 ,0.1183,0.3734,2000,0.4457,4.3,0.7992,0.5068
2091,BUKIT INDAH SKUDAI, 60.6 ,0.1096,0.3559,1070,0.2930,3.9,0.7225,0.4991
2194,68 AVENUE, 55.6 ,0.1062,0.3733,1440,0.2836,3.7,0.4684,0.5462
2230,SUNWAY BIG BOX, 65.5 ,0.1000,0.3996,560,0.2485,4.1,0.4500,0.4535
4,CHERAS LEISURE MALL, 53.0 ,0.1000,0.4404,840,0.1975,3.2,0.4500,0.4901
173,BANDAR SUNGAI LONG, 43.0 ,0.1282,0.3519,510,0.2170,3.0,0.4804,0.4264
178,MEDAN CONNAUGHT, 43.0 ,0.1483,0.3476,400,0.2310,3.0,0.5170,0.6085
222,LOTUS'S CHERAS, 46.1 ,0.1111,0.3416,460,0.2068,3.4,0.4680,0.3500
282,BMC MALL, 44.9 ,0.1082,0.3410,560,0.2212,3.1,0.4991,0.3500
548,MAHKOTA CHERAS, 54.3 ,0.1235,0.3711,740,0.2500,3.6,0.5018,0.5460
604,AEON BIG TUN HUSSEIN ONN, 43.0 ,0.1194,0.3460,880,0.2013,3.1,0.4736,0.4284
651,HULU LANGAT, 47.5 ,0.1090,0.3333,400,0.2759,3.5,0.5272,0.7218
2039,EKO CHERAS, 47.6 ,0.1252,0.4461,420,0.1929,3.0,0.5418,0.3538
2107,DAMAI PERDANA, 54.4 ,0.1142,0.3688,460,0.2785,3.6,0.5918,0.5645
2129,TMN SEGAR CHERAS, 43.0 ,0.1287,0.3440,400,0.2197,3.0,0.4500,0.4149
305,SETIA CITY MALL, 46.6 ,0.1000,0.3369,880,0.1989,3.2,0.5542,0.6368
410,LOTUS'S PUNCAK ALAM, 43.3 ,0.1447,0.3552,930,0.2382,3.3,0.6504,0.5193
644,SAUJANA UTAMA, 52.4 ,0.1243,0.3705,700,0.2255,3.7,0.5312,0.7719
2010,KIP DESA COALFIELDS, 44.1 ,0.1360,0.3395,400,0.2492,3.4,0.4898,0.4214
2019,SETIA CITY MALL 2, 57.7 ,0.1000,0.3932,4460,0.3110,3.8,0.7052,0.4084
2021,SETIA TAIPAN, 46.0 ,0.1076,0.3096,400,0.1700,3.3,0.6868,0.7703
2033,SETIA ALAM 2, 59.9 ,0.1146,0.3676,1070,0.2525,3.8,0.5472,0.4120
2077,ALAM BUDIMAN, 48.2 ,0.1070,0.3228,420,0.2191,3.6,0.5927,0.7496
2098,CALTEX ECO GRANDEUR, 52.0 ,0.1248,0.3616,1110,0.3392,3.9,0.7254,0.6342
2124,CALTEX PERSIARAN MOKHTAR DAHARI, 43.0 ,0.1203,0.3077,400,0.2018,3.2,0.6703,0.4750
2228,CALTEX ECO ARDENCE, 48.7 ,0.1214,0.3392,400,0.2617,3.5,0.6539,0.5406
2232,ELMINA LAKESIDE MALL, 52.5 ,0.1085,0.3953,560,0.2098,3.6,0.4500,0.3948
188,AEON TAMAN EQUINE, 50.4 ,0.1160,0.3617,840,0.2738,3.4,0.4807,0.7430
393,D PULZE CYBEJAYA, 49.9 ,0.1000,0.3722,1110,0.2270,3.3,0.5386,0.6324
518,PUNCAK JALIL, 47.4 ,0.1243,0.3000,400,0.2964,3.6,0.5417,0.5548
527,SERI SERDANG, 43.0 ,0.1222,0.3000,400,0.2496,3.0,0.5662,0.6050
549,NEO CYBER, 43.0 ,0.1126,0.3157,1110,0.2632,3.2,0.6396,0.7182
608,TAMARIND SQUARE, 45.4 ,0.0999,0.3820,420,0.2129,3.1,0.5620,0.3934
698,OLIVE HILL, 45.6 ,0.1327,0.3499,400,0.2561,3.2,0.5808,0.6099
2046,PRESINT 8, 45.6 ,0.1146,0.3000,400,0.2550,3.4,0.5161,0.5165
2176,SHAFTSBURY SQUARE, 45.3 ,0.1206,0.3558,420,0.2741,3.2,0.7986,0.4767
2179,TAMAN EQUINE, 53.3 ,0.1145,0.3687,400,0.2885,3.5,0.5249,0.5499
2211,JALAN DIPLOMATIK, 52.7 ,0.1151,0.3579,400,0.2773,3.8,0.4633,0.7043
367,ALAMANDA, 57.5 ,0.1001,0.3656,4080,0.2230,3.8,0.5195,0.5779
385,IOI CITY MALL, 57.2 ,0.1000,0.3934,5850,0.2055,3.4,0.5181,0.5161
461,GATEWAY@KLIA2, 43.0 ,0.1000,0.3704,1670,0.1714,3.0,0.4927,0.7318
544,MITSUI OUTLET PARK, 45.9 ,0.1027,0.3772,1210,0.2255,3.6,0.5381,0.4315
556,KIPMALL KOTA WARISAN, 50.4 ,0.1096,0.3552,740,0.2715,3.6,0.7152,0.5104
576,DE CENTRUM, 43.0 ,0.1088,0.3283,400,0.2072,3.0,0.4603,0.6646
599,GATEWAY KLIA 2 TWO, 43.0 ,0.1000,0.3908,1440,0.1995,3.1,0.5470,0.6607
2032,IOI CONEZION, 46.8 ,0.1023,0.3410,400,0.2138,3.3,0.5534,0.5149
2089,SALAK PERDANA, 49.7 ,0.1089,0.3244,400,0.2557,3.7,0.7201,0.5577
2149,IOI CITY MALL 2, 46.9 ,0.1000,0.3770,1620,0.1901,3.1,0.5512,0.3500
2192,KOTA WARISAN, 49.9 ,0.1063,0.3201,400,0.3027,3.7,0.5272,0.5875
2208,SALAK TINGGI, 47.0 ,0.1105,0.3342,420,0.2528,3.5,0.6011,0.5189
34,SUNWAY PYRAMID, 56.3 ,0.1000,0.4147,7610,0.1912,3.2,0.5379,0.7514
260,AEON BIG PUC UTAMA, 46.6 ,0.1179,0.3394,790,0.2727,3.3,0.5807,0.3500
419,LOTUS'S BANDAR BUKIT PUCHONG, 43.0 ,0.1325,0.3219,840,0.2358,3.0,0.5308,0.3677
454,BANDAR PUTERI PUCHONG, 51.8 ,0.1140,0.3672,460,0.2705,3.4,0.5837,0.6626
469,TAMAN SRI MANJA, 50.1 ,0.1000,0.3296,880,0.2961,3.6,0.5888,0.7698
630,CALTEX PUCHONG PERMAI, 43.0 ,0.1097,0.3000,790,0.2956,3.2,0.5870,0.6966
2035,SUNWAY GEO, 43.0 ,0.1195,0.3895,1530,0.2430,3.0,0.5847,0.4069
2049,IOI RIO PUCHONG, 53.1 ,0.1259,0.3921,400,0.2507,3.4,0.5795,0.4585
2110,PUCHONG PRIMA, 50.8 ,0.1048,0.3404,1020,0.2515,3.6,0.5507,0.5584
2165,BANDAR PUTERI PUCHONG 2, 53.0 ,0.1172,0.3743,560,0.2673,3.6,0.5511,0.4804
2204,MERANTI JAYA, 57.9 ,0.1257,0.3894,510,0.3115,3.7,0.5328,0.4879
108,DANAU DESA, 46.0 ,0.1404,0.3432,460,0.3354,3.4,0.6071,0.6747
112,KUCHAI ENTREPRENUER, 47.2 ,0.1393,0.3381,400,0.3336,3.4,0.5857,0.5291
116,KOMPLEKS BANDAR, 43.0 ,0.1264,0.3082,400,0.3371,3.2,0.6251,0.5776
119,ENDAH PARADE, 43.0 ,0.1334,0.3511,400,0.2151,3.0,0.5554,0.3500
561,KUCHAI ENTREPRENEUR 2, 48.7 ,0.1251,0.3412,1160,0.3762,3.4,0.5573,0.6392
620,SRI PETALING, 53.4 ,0.1116,0.3999,460,0.2416,3.4,0.5541,0.6367
682,JALIL LINK, 44.0 ,0.1383,0.3268,400,0.3063,3.4,0.5862,0.5731
2045,PAVILION BUKIT JALIL, 53.0 ,0.1000,0.4275,2130,0.1829,3.2,0.4664,0.3500
2114,TROPIKA BKT JALIL, 48.9 ,0.1269,0.4179,400,0.2899,3.0,0.6085,0.4548
2119,THE FOOD MERCHANT OUG, 48.9 ,0.1300,0.3953,400,0.3582,3.2,0.6806,0.4096
2177,PEARL POINT , 46.5 ,0.1208,0.3666,510,0.2966,3.2,0.5699,0.3500
216,AEON CHERAS SELATAN, 50.8 ,0.1000,0.3597,2090,0.2365,3.2,0.6095,0.3543
346,BANGI GATEWAY, 43.0 ,0.1096,0.3486,460,0.2270,3.2,0.5587,0.6320
368,KIP MALL BANGI, 48.3 ,0.1202,0.3441,880,0.2815,3.5,0.6297,0.3887
435,THE MINES, 51.2 ,0.1000,0.3725,650,0.2227,3.3,0.5275,0.5265
517,SEKSYEN 9 BANGI, 51.5 ,0.1234,0.3061,560,0.2667,3.8,0.6131,0.8045
647,C180, 48.8 ,0.1098,0.3760,400,0.2271,3.2,0.5833,0.5221
670,AMERIN MALL, 43.0 ,0.1060,0.3074,420,0.2244,3.0,0.4936,0.4982
2001,TRILIUM, 47.9 ,0.1076,0.3304,460,0.2212,3.5,0.5621,0.7201
2052,SERDANG PERDANA, 50.1 ,0.1110,0.3662,400,0.2385,3.4,0.5193,0.5685
2065,JADE HILLS, 49.9 ,0.1122,0.3596,400,0.2350,3.4,0.5142,0.5976
2102,EVO BANGI, 50.2 ,0.1087,0.3812,400,0.2201,3.6,0.5170,0.5460
18,IOI MALL, 53.9 ,0.1000,0.3951,1900,0.2159,3.3,0.5074,0.4804
189,TAMAN SENTOSA KLANG, 48.9 ,0.1111,0.3000,700,0.3046,3.2,0.7121,0.7811
204,KAPAR, 47.6 ,0.1250,0.3068,650,0.2616,3.5,0.6331,0.5234
448,LOTUS'S PUCHONG, 43.0 ,0.1369,0.3191,970,0.2668,3.1,0.5140,0.3500
575,PUCHONG JAYA, 47.3 ,0.1283,0.3719,460,0.2475,3.3,0.5800,0.7117
584,BUKIT JELUTONG, 61.3 ,0.1014,0.3786,600,0.2410,3.9,0.5883,0.7650
635,IOI MALL 2, 47.9 ,0.1076,0.3938,970,0.2170,3.3,0.4880,0.4579
2057,DENAI ALAM, 54.4 ,0.1063,0.3408,420,0.2123,3.8,0.5785,0.6425
2082,TAMAN KINRARA PUCHONG, 54.1 ,0.1152,0.3551,1020,0.2632,3.7,0.5609,0.5174
2104,TAMAN SAUJANA KLANG, 58.0 ,0.1140,0.3689,840,0.3195,3.9,0.7134,0.5852
87,WISMA TAI & TAI, 55.9 ,0.0996,0.3232,4640,0.3137,3.9,0.8550,0.6761
118,"FAJAR COMPLEX, TAWAU", 44.7 ,0.1370,0.3156,1760,0.2767,3.7,0.7560,0.4775
292,BANDAR SRI PERDANA, 45.7 ,0.1045,0.3000,2230,0.2732,3.4,0.8591,0.6213
341,SEMPORNA, 43.0 ,0.1243,0.3404,2320,0.2789,3.4,0.7052,0.6960
363,FAJAR LAHAD DATU, 56.9 ,0.1148,0.3418,2180,0.3071,3.9,0.8674,0.8479
456,DARVEL BAY LAHAD DATU, 53.8 ,0.1032,0.3064,3430,0.3165,4.0,0.8551,0.6462
466,KUBOTA SQUARE, 65.5 ,0.1218,0.3793,1950,0.2932,4.4,0.8175,0.6559
551,KUNAK, 43.0 ,0.1067,0.3000,840,0.2867,3.1,0.7739,0.5388
2075,BALUNG TAWAU, 43.0 ,0.1096,0.3280,1250,0.3499,3.5,0.8308,0.5189
2205,"TAMAN SEMARAK,TAWAU", 47.0 ,0.1093,0.3345,600,0.2453,3.4,0.7550,0.5287
2212,TONG TALUN SEMPORNA, 48.8 ,0.1019,0.3141,970,0.3015,3.5,0.7768,0.5085
2218,MAGANTING PLAZA, 47.2 ,0.1000,0.3136,700,0.2974,3.6,0.8160,0.6056
228,ONE BORNEO KOTA KINABALU, 45.6 ,0.1145,0.3589,1720,0.2367,3.4,0.9332,0.3912
280,SURIA SABAH, 54.1 ,0.1158,0.3983,5200,0.2603,3.8,0.9101,0.4483
320,MEGALONG MALL, 45.3 ,0.1228,0.3335,1390,0.3047,3.3,0.7739,0.3700
323,TUARAN SABAH, 43.4 ,0.1107,0.3000,880,0.2890,3.4,0.9000,0.5927
329,KOTA BELUD, 48.1 ,0.1184,0.3043,1160,0.3089,3.6,0.8970,0.6727
353,RANAU SABAH, 58.6 ,0.1146,0.3215,1530,0.3199,4.2,0.8887,0.6727
400,KUDAT, 44.3 ,0.0996,0.3000,1350,0.2837,3.6,0.8828,0.5381
403,KOTA MARUDU, 61.0 ,0.1057,0.3406,1110,0.2707,4.1,0.9063,0.8131
545,KUDAT FRIENDLY TOWN, 47.1 ,0.1000,0.3180,930,0.2731,3.8,0.8499,0.6021
572,PLAZA 333, 46.9 ,0.1360,0.3136,420,0.3014,3.7,0.8845,0.6953
629,ITCC KK, 52.0 ,0.1055,0.3682,650,0.2341,3.5,0.8377,0.4915
2159,SOLARIS TUARAN, 65.3 ,0.1079,0.3689,1020,0.3654,4.5,0.9222,0.5487
269,KENINGAU MALL, 49.4 ,0.1136,0.3372,880,0.2630,3.4,0.7788,0.3500
273,INANAM TAIPAN KK, 54.7 ,0.1131,0.3338,1350,0.3187,4.1,0.9528,0.6715
316,BEAUFORT SABAH, 43.1 ,0.1266,0.3040,840,0.3341,3.5,0.7747,0.5432
402,IMAGO TIMES SQUARE, 60.0 ,0.1000,0.3999,2230,0.2836,4.1,0.8187,0.4736
437,TENOM, 43.0 ,0.1049,0.3000,400,0.3010,3.1,0.8577,0.5538
475,KENINGAU, 46.3 ,0.1144,0.3152,560,0.2863,3.3,0.7192,0.6069
506,SIPITANG PLAZA, 49.9 ,0.1171,0.3409,420,0.2521,3.6,0.6895,0.6531
642,BEAUFORT 2, 54.1 ,0.1136,0.3464,650,0.3060,4.0,0.6405,0.6858
2145,INANAM MALL, 43.4 ,0.1229,0.3292,1250,0.3461,3.5,0.9353,0.5775
2169,ORCHARD PLAZA, 53.1 ,0.1000,0.3454,400,0.2935,3.8,0.8736,0.6188
2172,EMART LINTAS JAYA, 45.0 ,0.1225,0.3568,400,0.2606,3.2,0.9274,0.4541
2262,PARKLANE PAPAR, 43.0 ,0.1000,0.3000,400,0.1700,3.0,0.4500,0.3500
60,KOMPLEKS KARAMUNSING, 47.5 ,0.1209,0.3842,510,0.2351,3.5,0.8626,0.4443
163,DAMAI POINT, 49.1 ,0.1624,0.3458,560,0.4133,3.9,0.9351,0.6553
243,CENTRE POINT KK, 47.4 ,0.1101,0.3445,2230,0.3198,3.4,0.8289,0.4578
293,LINTAS PLAZA, 45.4 ,0.1498,0.3326,400,0.2716,3.5,0.7413,0.6472
355,PAPAR, 52.6 ,0.1117,0.3362,930,0.2698,3.7,0.6421,0.6644
358,PUTATAN SABAH, 54.6 ,0.1037,0.3497,2690,0.3269,3.7,0.9598,0.8455
449,LABUAN, 56.6 ,0.1135,0.3487,1160,0.3571,4.0,0.9124,0.7962
452,LABUAN AIRPORT, 43.0 ,0.1637,0.3499,400,0.3326,3.4,0.8826,0.4217
508,KINGFISHER, 49.6 ,0.1247,0.3647,400,0.2391,3.6,0.8160,0.7890
587,ASIA CITY KK, 43.0 ,0.1329,0.3341,510,0.2490,3.3,0.8132,0.6212
684,PAPAR BENONI, 44.8 ,0.1116,0.3000,400,0.2565,3.4,0.6797,0.6709
2011,88 MALL, 53.4 ,0.1339,0.4099,400,0.2387,3.8,0.8415,0.5774
2101,PAVILION BUNDUSAN, 65.4 ,0.1146,0.3758,460,0.2718,4.3,0.8171,0.6087
73,WISMA MERDEKA, 46.4 ,0.1328,0.3598,1020,0.3143,3.6,0.8568,0.4219
158,SANDAKAN, 49.4 ,0.1779,0.3775,3110,0.3703,3.6,0.8494,0.5696
211,HARBOUR SQUARE, 43.0 ,0.1131,0.3000,1110,0.2910,3.0,0.8091,0.4935
279,BANDAR PRIMA SANDAKAN, 75.8 ,0.1123,0.3790,8450,0.3489,4.8,0.8040,0.6974
336,CITY MALL KK, 44.5 ,0.1494,0.3737,400,0.2145,3.3,0.8750,0.4396
404,HARBOUR MALL SDK, 47.5 ,0.1251,0.3179,3810,0.3064,3.4,0.8263,0.5470
571,JALAN PANTAI KK, 43.9 ,0.1358,0.3411,880,0.2742,3.6,0.8654,0.7170
665,MENGGATAL, 52.2 ,0.1320,0.3438,1390,0.2990,4.0,0.8681,0.7388
2067,TAMPARULI, 47.5 ,0.1168,0.3038,930,0.2800,3.6,0.9397,0.6978
64,KOTA BHARU, 64.7 ,0.1068,0.3837,2650,0.4126,4.3,0.7594,0.7691
92,KB MALL, 51.4 ,0.1167,0.3752,2740,0.3645,3.5,0.6864,0.3500
362,GUA MUSANG, 56.1 ,0.1181,0.3057,1440,0.4497,4.1,0.8485,0.5470
451,KUALA KRAI, 57.6 ,0.1038,0.3000,600,0.2934,4.0,0.8702,0.5822
582,BDR BARU TANAH MERAH, 59.8 ,0.1138,0.3871,1670,0.3481,4.0,0.7374,0.7152
2068,MYDIN TUNJUNG, 46.9 ,0.1302,0.4119,5240,0.3376,3.3,0.7711,0.4415
2123,UPTOWN JELAWAT, 53.2 ,0.1134,0.3722,1900,0.3391,3.7,0.8467,0.5675
2173,BANDAR TASEK RAJA, 56.1 ,0.1072,0.3610,1670,0.3079,3.9,0.6728,0.5732
2185,TAMAN KENANGAN, 56.6 ,0.1000,0.3946,840,0.2728,3.9,0.7534,0.5400
2201,LAMAN FIRDAUS KUALA KRAI, 50.2 ,0.1081,0.3459,420,0.3324,3.6,0.7520,0.5231
2219,G-ORANGE GUA MUSANG, 52.3 ,0.1093,0.3557,1350,0.4004,3.8,0.7729,0.3500
2224,TANAH MERAH, 59.5 ,0.1161,0.3687,1580,0.4254,4.0,0.8904,0.5412
100,THE CURVE, 51.6 ,0.1001,0.3851,2510,0.2337,3.5,0.4926,0.5845
150,BANDAR SRI DAMANSARA, 46.5 ,0.1364,0.3642,600,0.2815,3.3,0.6382,0.5947
262,ONE UTAMA SHOPPING CENTRE, 60.9 ,0.1000,0.4238,7010,0.2142,3.5,0.5830,0.4795
314,LOTUS'S MUTIARA, 43.0 ,0.1350,0.3403,740,0.2505,3.1,0.5159,0.3870
488,DESA PARKCITY, 55.4 ,0.1156,0.4010,650,0.3106,3.6,0.5216,0.5899
528,IPC SHOPPING CENTER, 43.0 ,0.1186,0.3657,420,0.2063,3.2,0.4500,0.4044
573,ATIVO PLAZA, 57.8 ,0.1112,0.3951,840,0.2605,3.7,0.5358,0.6870
598,PLAZA ARKADIA, 51.4 ,0.1146,0.4185,1620,0.2545,3.4,0.5384,0.4778
2108,DAMANSARA PERDANA, 51.8 ,0.1064,0.3652,600,0.2532,3.6,0.5306,0.6451
2137,PELANGI SQUARE, 43.0 ,0.1126,0.3276,400,0.1844,3.1,0.4500,0.5305
2226,ATRIA MALL, 46.0 ,0.1212,0.3967,400,0.2471,3.1,0.4635,0.3500
2237,MEGAH RISE MALL, 44.5 ,0.1227,0.4055,400,0.2380,3.0,0.5622,0.3500
202,PASIR TUMBUH, 52.6 ,0.1128,0.3327,2320,0.3773,3.9,0.7992,0.5029
227,LOTUS'S KOTA BHARU, 45.4 ,0.1268,0.4157,2230,0.3336,3.3,0.7332,0.5345
250,KUBANG KERIAN, 49.6 ,0.1178,0.3417,2410,0.3962,3.4,0.7712,0.6330
413,G-ORANGE HOME MART, 55.2 ,0.1025,0.4108,930,0.3085,3.8,0.6964,0.6247
427,WAKAF CHE YEH, 48.4 ,0.1127,0.3167,1390,0.3203,3.6,0.7516,0.7311
429,PASIR MAS, 50.4 ,0.1146,0.3000,1620,0.3499,3.7,0.8718,0.6436
442,AEON MALL KOTA BAHRU, 52.1 ,0.1000,0.3570,4180,0.3473,3.5,0.7762,0.5084
686,JALAN PARIT DALAM KB, 54.6 ,0.1186,0.3825,2650,0.4076,3.7,0.7904,0.8066
2027,PASIR PUTEH, 55.1 ,0.1236,0.3770,3530,0.3772,3.8,0.7902,0.5564
2066,PENGKALAN CHEPA, 49.5 ,0.1345,0.4038,2690,0.3675,3.6,0.6223,0.5663
2080,BANDAR BENTARA TUMPAT, 56.9 ,0.1132,0.3821,2180,0.4082,3.9,0.7679,0.5840
2162,UDA MURNI, 51.7 ,0.1195,0.3610,1160,0.3856,3.8,0.8580,0.5423
2238,KOK LANAS, 54.8 ,0.1093,0.3969,420,0.3926,3.8,0.6996,0.5706
175,DUNGUN TERENGGANU, 53.2 ,0.1257,0.3567,2830,0.3022,3.9,0.7005,0.8080
177,CHUKAI, 46.2 ,0.1201,0.3163,1440,0.3151,3.6,0.6705,0.7098
303,MESRA MALL, 45.0 ,0.1244,0.3879,1210,0.2265,3.4,0.4500,0.4915
319,KUALA BERANG, 43.9 ,0.1125,0.3001,700,0.2564,3.4,0.7348,0.4933
361,PAKA TERENGGANU, 52.6 ,0.1218,0.3667,1530,0.3029,3.9,0.6756,0.8051
675,CHUKAI 2, 53.9 ,0.1358,0.3621,1670,0.3321,4.0,0.6596,0.6959
2012,DUNGUN 2, 48.3 ,0.1237,0.3242,1620,0.2938,3.7,0.6828,0.7674
2139,KUALA BERANG 2, 55.4 ,0.1089,0.3524,840,0.3227,3.9,0.6441,0.7258
2146,KEMAMAN EAST, 60.7 ,0.1136,0.3919,970,0.2738,4.1,0.6219,0.5978
2181,GONG BADAK, 57.6 ,0.1000,0.3695,2830,0.2752,3.9,0.7082,0.7507
51,SS2, 43.4 ,0.1417,0.3754,420,0.1941,3.2,0.6211,0.5206
81,KOMPLEKS MUTIARA, 46.1 ,0.1228,0.3557,400,0.2360,3.4,0.4769,0.4306
106,HARTAMAS SHOPPING CENTRE, 48.0 ,0.1106,0.3657,420,0.2148,3.3,0.4500,0.5012
302,DESA SRI HARTAMAS, 43.1 ,0.1309,0.3461,400,0.2271,3.3,0.4924,0.5192
501,THE STARLING MALL, 49.3 ,0.1046,0.4106,930,0.2051,3.1,0.4683,0.4972
523,NU SENTRAL, 46.4 ,0.0996,0.3886,2460,0.1878,3.1,0.5032,0.4973
553,3 DAMANSARA, 46.7 ,0.1201,0.3794,560,0.2379,3.2,0.5043,0.5322
570,SENTUL BOULEVARD, 46.5 ,0.1130,0.3000,420,0.2426,3.5,0.5411,0.6235
603,SOLARIS MONT KIARA, 51.1 ,0.1159,0.3590,400,0.2574,3.4,0.4721,0.5689
691,SUNWAY 163 MALL, 62.8 ,0.1000,0.4264,1300,0.2061,3.5,0.4500,0.5472
693,1 MONT KIARA, 45.8 ,0.1134,0.3689,420,0.2263,3.0,0.4775,0.4417
2042,MAXIM CITYLIGHTS, 46.2 ,0.1012,0.3435,970,0.2302,3.2,0.4824,0.5378
94,SB MALL, 50.8 ,0.1134,0.3507,2130,0.2969,3.7,0.6301,0.4489
168,DESA AMAN PURI, 45.0 ,0.1316,0.3341,600,0.2360,3.2,0.6036,0.5946
171,DATARAN SUNWAY, 43.3 ,0.1252,0.3592,400,0.1928,3.1,0.4500,0.6475
179,AMAN SURIA, 46.6 ,0.1560,0.3577,400,0.3158,3.5,0.5766,0.5288
411,PARADIGM MALL, 56.6 ,0.1267,0.4149,1250,0.2369,3.6,0.5141,0.4815
432,CITTA MALL, 50.7 ,0.1002,0.4119,740,0.1844,3.2,0.4734,0.6428
521,SUNWAY GIZA, 47.7 ,0.1226,0.3946,460,0.2215,3.3,0.4500,0.4967
607,SKYPARK SUBANG TERM, 43.0 ,0.1139,0.3738,400,0.1700,3.0,0.4500,0.4850
664,TROPICANA GARDEN, 47.9 ,0.1057,0.4200,1350,0.2030,3.1,0.4676,0.4458
696,JALAN CECAWI, 44.1 ,0.1183,0.3185,400,0.1892,3.3,0.6594,0.6718
2020,TSB SG BULOH, 52.2 ,0.1073,0.3370,700,0.2378,3.8,0.4991,0.7466
2087,SUBANG PERDANA, 59.0 ,0.1138,0.3527,1670,0.2729,4.0,0.6837,0.5334
38,AMCORP MALL, 45.1 ,0.1200,0.3911,400,0.2506,3.3,0.4704,0.6611
76,PJ OLD TOWN, 47.9 ,0.1311,0.3256,600,0.3080,3.6,0.5679,0.5244
96,PJ NEW TOWN, 45.6 ,0.1210,0.3064,420,0.2455,3.4,0.5792,0.6055
299,MID VALLEY MEGAMALL, 61.7 ,0.1000,0.4213,4500,0.1962,3.4,0.5177,0.5884
457,DAMANSARA CITY MALL, 44.2 ,0.1115,0.3881,600,0.2292,3.1,0.4500,0.6306
491,JAYA 33, 44.4 ,0.1139,0.3752,400,0.2080,3.2,0.4500,0.5130
529,MID VALLEY 2, 43.0 ,0.1118,0.3971,840,0.2073,3.0,0.5175,0.3916
581,KL ECO CITY, 43.0 ,0.1002,0.3487,400,0.2199,3.0,0.4697,0.5729
590,THE GARDENS MALL, 43.0 ,0.1425,0.3745,740,0.2824,3.3,0.5690,0.5238
597,BANGSAR VILLAGE MALL, 48.9 ,0.1164,0.3893,420,0.2320,3.1,0.4660,0.4847
679,JALAN TELAWI BANGSAR, 54.2 ,0.1007,0.4078,400,0.1932,3.5,0.4500,0.6077
2187,PAVILION DAMANSARA HEIGHTS, 53.3 ,0.1000,0.4520,790,0.2225,3.1,0.5497,0.3500
207,JERTEH, 60.0 ,0.1138,0.3688,2230,0.4130,4.2,0.7517,0.6720
298,K. TERENGGANU, 58.8 ,0.1132,0.3896,650,0.2950,3.9,0.6252,0.7459
583,PAYA KELADI, 51.7 ,0.1346,0.3212,700,0.3900,4.0,0.7397,0.6406
606,PAYA BUNGA SQUARE, 44.2 ,0.1150,0.3931,1390,0.2848,3.3,0.6987,0.4800
